,Artist,Position,Streams,Track Name,Week,album,artist_top_genre,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Roddy Ricch,1,90253,The Box,2020-02-21--2020-02-28,Please Excuse Me For Being Antisocial,rap,2019-12-06,196652,89,0.8959999999999999,0.104,0.586,0.0,0.79,-6.687,0.0559,116.971,4
1,Tones And I,2,72898,Dance Monkey,2020-02-21--2020-02-28,Dance Monkey,pop,2019-05-10,209754,70,0.825,0.688,0.593,0.000161,0.17,-6.401,0.0988,98.078,4
2,The Weeknd,3,71787,Blinding Lights,2020-02-21--2020-02-28,Blinding Lights,r&b,2019-11-29,201573,34,0.513,0.00147,0.7959999999999999,0.000209,0.0938,-4.075,0.0629,171.017,4
3,Future,4,64670,Life Is Good (feat. Drake),2020-02-21--2020-02-28,Life Is Good (feat. Drake),hip hop,2020-01-10,237735,85,0.6759999999999999,0.0706,0.609,0.0,0.152,-5.831,0.481,142.037,4
4,Kabza De Small,5,64600,eMcimbini - Live,2020-02-21--2020-02-28,Scorpion Kings Live,house,2020-02-03,407787,49,0.8440000000000001,0.00646,0.564,0.163,0.0231,-10.817,0.0855,112.996,4
5,Justin Bieber,6,63292,Intentions (feat. Quavo),2020-02-21--2020-02-28,Changes,pop,2020-02-14,212866,83,0.8059999999999999,0.3,0.546,0.0,0.102,-6.6370000000000005,0.0575,147.986,4
6,Dua Lipa,7,61793,Don't Start Now,2020-02-21--2020-02-28,Don't Start Now,dance,2019-10-31,183290,86,0.794,0.0125,0.7929999999999999,0.0,0.0952,-4.521,0.0842,123.941,4
7,The Weeknd,8,54663,After Hours,2020-02-21--2020-02-28,After Hours,r&b,2020-02-19,361946,21,0.6629999999999999,0.0938,0.5670000000000001,0.00978,0.124,-5.941,0.0309,108.959,4
8,Post Malone,9,54331,Circles,2020-02-21--2020-02-28,Hollywood's Bleeding,rap,2019-09-06,215280,89,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
9,Billie Eilish,10,53419,everything i wanted,2020-02-21--2020-02-28,everything i wanted,pop,2019-11-13,245425,87,0.7040000000000001,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4
10,Trevor Daniel,11,49917,Falling,2020-02-21--2020-02-28,Falling,r&b,2018-10-05,159381,86,0.785,0.123,0.431,0.0,0.0887,-8.756,0.0364,127.085,4
11,Eminem,12,48082,Godzilla (feat. Juice WRLD),2020-02-21--2020-02-28,Music To Be Murdered By,hip hop,2020-01-17,210800,85,0.8079999999999999,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4
12,Maroon 5,13,46504,Memories,2020-02-21--2020-02-28,Memories,pop,2019-09-20,189486,89,0.764,0.8370000000000001,0.32,0.0,0.0822,-7.209,0.0546,91.019,4
13,Justin Bieber,14,46139,Yummy,2020-02-21--2020-02-28,Changes,pop,2020-02-14,208520,76,0.6759999999999999,0.345,0.506,0.0,0.118,-6.652,0.0958,145.842,4
14,Billie Eilish,15,45673,No Time To Die,2020-02-21--2020-02-28,No Time To Die,pop,2020-02-13,242265,81,0.38,0.917,0.219,0.0104,0.0827,-13.273,0.0358,73.53699999999998,4
15,Lewis Capaldi,16,43296,Someone You Loved,2020-02-21--2020-02-28,Divinely Uninspired To A Hellish Extent,pop,2019-05-17,182160,90,0.501,0.7509999999999999,0.405,0.0,0.105,-5.6789999999999985,0.0319,109.891,4
16,Arizona Zervas,17,42305,ROXANNE,2020-02-21--2020-02-28,ROXANNE,rap,2019-10-10,163636,87,0.621,0.0522,0.601,0.0,0.46,-5.6160000000000005,0.14800000000000002,116.735,5
17,Ed Sheeran,18,39873,Beautiful People (feat. Khalid),2020-02-21--2020-02-28,No.6 Collaborations Project,pop,2019-07-12,197866,77,0.64,0.124,0.647,0.0,0.0801,-8.113999999999999,0.18600000000000005,92.979,4
18,Elaine,19,39374,You're the One,2020-02-21--2020-02-28,Elements,r&b,2019-09-29,200347,32,0.743,0.6509999999999999,0.39,0.0,0.109,-11.299,0.0544,114.914,4
19,Ed Sheeran,20,38249,I Don't Care (with Justin Bieber),2020-02-21--2020-02-28,No.6 Collaborations Project,pop,2019-07-12,219946,79,0.7979999999999999,0.0902,0.6759999999999999,0.0,0.0894,-5.041,0.0442,101.956,4
20,Justin Bieber,21,36398,Forever (feat. Post Malone & Clever),2020-02-21--2020-02-28,Changes,pop,2020-02-14,219933,75,0.825,0.5379999999999999,0.483,1.4800000000000002e-05,0.204,-5.746,0.08,139.98,4
21,MEDUZA,22,36128,Lose Control,2020-02-21--2020-02-28,Lose Control,edm,2019-10-11,168387,85,0.598,0.129,0.526,0.0,0.14,-8.658999999999999,0.0415,123.935,4
22,Roddy Ricch,23,35013,High Fashion (feat. Mustard),2020-02-21--2020-02-28,Please Excuse Me For Being Antisocial,rap,2019-12-06,220486,82,0.831,0.269,0.499,0.0,0.3,-8.442,0.114,97.956,4
23,Doja Cat,24,33598,Say So,2020-02-21--2020-02-28,Hot Pink,indie,2019-11-07,237893,86,0.787,0.256,0.6729999999999999,3.57e-06,0.0904,-4.577,0.158,110.962,4
24,Camila Cabello,25,33308,My Oh My (feat. DaBaby),2020-02-21--2020-02-28,Romance,dance,2019-12-06,170746,81,0.7240000000000001,0.018000000000000002,0.491,1.29e-05,0.0887,-6.024,0.0296,105.046,4
25,Sha Sha,26,33284,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020-02-21--2020-02-28,Tender Love (feat. DJ Maphorisa & Kabza De Small),house,2019-10-25,444474,48,0.845,0.00591,0.394,0.312,0.054000000000000006,-14.365,0.055,113.015,4
26,Jonas Brothers,27,32916,What A Man Gotta Do,2020-02-21--2020-02-28,What A Man Gotta Do,house,2020-01-17,180644,82,0.852,0.00839,0.698,1.03e-06,0.0773,-7.206,0.0629,113.039,4
27,Lewis Capaldi,28,32840,Before You Go,2020-02-21--2020-02-28,Divinely Uninspired To A Hellish Extent (Extended Edition),pop,2019-11-22,215106,86,0.459,0.604,0.575,0.0,0.0885,-4.8580000000000005,0.0573,111.881,4
28,Shawn Mendes,29,32295,Señorita,2020-02-21--2020-02-28,Shawn Mendes (Deluxe),pop,2019-06-19,190799,82,0.759,0.0392,0.5479999999999999,0.0,0.0828,-6.049,0.029,116.967,4
29,Kabza De Small,30,31875,Lorch,2020-02-21--2020-02-28,The Return Of The Scorpion Kings,house,2019-11-29,374961,41,0.913,0.17,0.6809999999999999,2.12e-05,0.0677,-9.914,0.0619,112.994,4
30,Harry Styles,31,31788,Adore You,2020-02-21--2020-02-28,Fine Line,pop,2019-12-13,207133,87,0.6759999999999999,0.0237,0.7709999999999999,7.000000000000002e-06,0.102,-3.675,0.0483,99.048,4
31,Halsey,32,31270,You should be sad,2020-02-21--2020-02-28,Manic,dance,2020-01-17,205473,81,0.591,0.14300000000000002,0.585,0.0,0.109,-6.35,0.0277,110.94,4
32,benny blanco,33,31195,Eastside (with Halsey & Khalid),2020-02-21--2020-02-28,FRIENDS KEEP SECRETS,pop,2018-12-07,170769,74,0.632,0.5489999999999999,0.6859999999999999,0.0,0.2,-7.665,0.243,89.949,4
33,Selena Gomez,34,30873,Lose You To Love Me,2020-02-21--2020-02-28,Rare,dance,2020-01-10,206458,84,0.488,0.556,0.343,0.0,0.21,-8.985,0.0436,102.819,4
34,SAINt JHN,35,30616,Roses - Imanbek Remix,2020-02-21--2020-02-28,Roses (Imanbek Remix),rap,2019-10-09,176840,91,0.77,0.0167,0.7240000000000001,0.0107,0.353,-5.484,0.0495,121.975,4
35,Khalid,36,30457,Know Your Worth,2020-02-21--2020-02-28,Know Your Worth,r&b,2020-02-04,181436,82,0.79,0.145,0.6940000000000001,0.00252,0.281,-7.726,0.0708,103.007,4
36,Sam Smith,37,30262,To Die For,2020-02-21--2020-02-28,To Die For,pop,2020-02-14,193795,78,0.483,0.8320000000000001,0.361,4.66e-06,0.098,-7.8889999999999985,0.0738,171.649,4
37,Billie Eilish,38,30191,bad guy,2020-02-21--2020-02-28,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",pop,2019-03-29,194087,88,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4
38,Lil Mosey,39,28700,Blueberry Faygo,2020-02-21--2020-02-28,Certified Hitmaker,rap,2020-02-06,162546,85,0.774,0.207,0.5539999999999999,0.0,0.132,-7.909,0.0383,99.034,4
39,Selena Gomez,40,28610,Feel Me,2020-02-21--2020-02-28,Feel Me,dance,2020-02-21,226002,71,0.71,0.44,0.8079999999999999,0.000773,0.0734,-6.7029999999999985,0.0433,99.989,4
40,Kabza De Small,41,27989,Phoyisa - Live,2020-02-21--2020-02-28,Scorpion Kings Live,house,2020-02-03,356414,25,0.8390000000000001,0.318,0.6609999999999999,0.0131,0.13699999999999998,-11.583,0.0756,114.005,4
41,Kabza De Small,42,27779,Sandton,2020-02-21--2020-02-28,The Return Of The Scorpion Kings,house,2019-11-29,412057,41,0.8809999999999999,0.151,0.634,3.38e-06,0.0992,-11.71,0.147,113.0,4
42,Tones And I,43,27610,Never Seen the Rain,2020-02-21--2020-02-28,Never Seen the Rain,pop,2019-07-15,200755,66,0.485,0.44,0.461,0.0,0.232,-5.646,0.0444,87.009,4
43,Surfaces,44,27494,Sunday Best,2020-02-21--2020-02-28,Where the Light Is,bedroom soul,2019-01-06,158571,86,0.878,0.183,0.525,0.0,0.0714,-6.832000000000002,0.0578,112.022,4
44,Regard,45,26200,Ride It,2020-02-21--2020-02-28,Ride It,edm,2019-07-26,157605,87,0.88,0.177,0.7509999999999999,6.43e-05,0.106,-4.258,0.0874,117.948,4
