,Unnamed: 0,Artist,Position,Streams,Track Name,Week,acousticness,album,artist_top_genre,danceability,energy,instrumentalness,length,liveness,loudness,popularity,release_date,speechiness,tempo,time_signature
0,0,Tones And I,1.0,4318581.0,Dance Monkey,2019-10-11--2019-10-18,0.688,Dance Monkey,pop,0.825,0.593,0.000161,209754.0,0.17,-6.401,70.0,2019-05-10,0.0988,98.07799999999999,4.0
1,1,Regard,2.0,2732732.0,Ride It,2019-10-11--2019-10-18,0.177,Ride It,edm,0.88,0.7509999999999999,6.43e-05,157605.0,0.106,-4.258,87.0,2019-07-26,0.0874,117.948,4.0
2,2,Travis Scott,3.0,2324012.0,HIGHEST IN THE ROOM,2019-10-11--2019-10-18,0.0546,HIGHEST IN THE ROOM,rap,0.598,0.42700000000000005,5.83e-06,175720.0,0.21,-8.764,88.0,2019-10-04,0.0317,76.469,4.0
3,3,Post Malone,4.0,2249604.0,Circles,2019-10-11--2019-10-18,0.192,Hollywood's Bleeding,rap,0.695,0.762,0.00244,215280.0,0.0863,-3.497,89.0,2019-09-06,0.0395,120.042,4.0
4,4,Aitch,5.0,2123049.0,Taste (Make It Shake),2019-10-11--2019-10-18,0.27699999999999997,AitcH2O,hip hop,0.7609999999999999,0.442,0.0,213680.0,0.125,-12.872,66.0,2019-09-06,0.38299999999999995,97.75299999999999,3.0
5,5,Joel Corry,6.0,2074685.0,Sorry,2019-10-11--2019-10-18,0.0547,Sorry,dance,0.7440000000000001,0.79,0.000802,188640.0,0.32,-4.617,71.0,2019-04-05,0.0562,125.00200000000001,4.0
6,6,Harry Styles,7.0,2050140.0,Lights Up,2019-10-11--2019-10-18,0.0426,Lights Up,pop,0.585,0.62,0.00224,172226.0,0.15,-8.09,9.0,2019-10-11,0.0327,101.939,4.0
7,7,Young T & Bugsey,8.0,2023999.0,Strike a Pose (feat. Aitch),2019-10-11--2019-10-18,0.0107,Strike a Pose (feat. Aitch),afroswing,0.531,0.581,1.62e-05,214203.0,0.10099999999999999,-5.801,66.0,2019-06-06,0.10099999999999999,137.776,5.0
8,8,Lewis Capaldi,9.0,1940306.0,Someone You Loved,2019-10-11--2019-10-18,0.7509999999999999,Divinely Uninspired To A Hellish Extent,pop,0.501,0.405,0.0,182160.0,0.105,-5.678999999999999,90.0,2019-05-17,0.0319,109.891,4.0
9,9,AJ Tracey,10.0,1866107.0,Ladbroke Grove,2019-10-11--2019-10-18,0.0939,AJ Tracey,grime,0.903,0.8390000000000001,0.0,190537.0,0.102,-9.447000000000001,73.0,2019-02-08,0.20800000000000002,133.986,4.0
10,10,Jorja Smith,11.0,1809923.0,Be Honest (feat. Burna Boy),2019-10-11--2019-10-18,0.311,Be Honest (feat. Burna Boy),pop,0.757,0.737,0.0,207030.0,0.113,-6.728,74.0,2019-08-16,0.114,98.057,4.0
11,11,Dermot Kennedy,12.0,1797459.0,Outnumbered,2019-10-11--2019-10-18,0.247,Without Fear,folk,0.614,0.684,0.0,245699.0,0.0976,-5.79,68.0,2019-10-04,0.157,156.85,4.0
12,12,Dominic Fike,13.0,1789815.0,3 Nights,2019-10-11--2019-10-18,0.223,"Don't Forget About Me, Demos",rock,0.815,0.518,0.0,177666.0,0.10400000000000001,-6.593999999999999,80.0,2018-10-16,0.0897,151.891,4.0
13,13,Ed Sheeran,14.0,1683434.0,South of the Border (feat. Camila Cabello & Cardi B),2019-10-11--2019-10-18,0.14800000000000002,No.6 Collaborations Project,pop,0.857,0.621,0.0,204466.0,0.0865,-6.376,81.0,2019-07-12,0.0825,97.98899999999999,4.0
14,14,Kygo,15.0,1646774.0,Higher Love,2019-10-11--2019-10-18,0.0154,Higher Love,edm,0.693,0.6779999999999999,6.05e-06,228267.0,0.10099999999999999,-7.159,83.0,2019-06-28,0.0324,103.95200000000001,4.0
15,15,Sam Feldt,16.0,1600346.0,Post Malone (feat. RANI),2019-10-11--2019-10-18,0.0771,Post Malone (feat. RANI) [Joe Stone Remix],dance,0.59,0.642,0.0,174444.0,0.105,-3.87,74.0,2019-08-16,0.122,107.35600000000001,4.0
16,16,Lil Tecca,17.0,1553336.0,Ransom,2019-10-11--2019-10-18,0.0204,We Love You Tecca,rap,0.745,0.642,0.0,131240.0,0.0658,-6.257000000000001,83.0,2019-08-30,0.287,179.97400000000002,4.0
17,17,Dave,18.0,1512600.0,Professor X,2019-10-11--2019-10-18,0.11,Professor X,hip hop,0.8909999999999999,0.675,0.0,217704.0,0.275,-6.892,69.0,2019-09-13,0.152,127.012,4.0
18,18,Sam Smith,19.0,1466884.0,How Do You Sleep?,2019-10-11--2019-10-18,0.153,How Do You Sleep?,pop,0.47700000000000004,0.682,0.0,202204.0,0.0763,-4.931,83.0,2019-07-19,0.0925,110.56700000000001,5.0
19,19,Ed Sheeran,20.0,1458778.0,Beautiful People (feat. Khalid),2019-10-11--2019-10-18,0.124,No.6 Collaborations Project,pop,0.64,0.647,0.0,197866.0,0.0801,-8.113999999999999,77.0,2019-07-12,0.18600000000000003,92.979,4.0
20,20,Aitch,21.0,1429612.0,Buss Down (feat. ZieZie),2019-10-11--2019-10-18,0.109,AitcH2O,hip hop,0.795,0.779,1.4400000000000001e-05,211786.0,0.0836,-5.412999999999999,63.0,2019-09-06,0.177,95.045,4.0
21,21,Ed Sheeran,22.0,1413070.0,Take Me Back to London (feat. Stormzy),2019-10-11--2019-10-18,0.21899999999999997,No.6 Collaborations Project,pop,0.885,0.762,0.0,189733.0,0.162,-5.513,71.0,2019-07-12,0.21600000000000003,138.058,4.0
22,22,Shawn Mendes,23.0,1379247.0,Señorita,2019-10-11--2019-10-18,0.0392,Shawn Mendes (Deluxe),pop,0.759,0.5479999999999999,0.0,190799.0,0.0828,-6.0489999999999995,82.0,2019-06-19,0.028999999999999998,116.96700000000001,4.0
23,23,Headie One,24.0,1320609.0,Both,2019-10-11--2019-10-18,0.565,Music x Road,hip hop,0.7509999999999999,0.674,0.000266,213586.0,0.114,-7.101,68.0,2019-08-23,0.212,145.808,4.0
24,24,Lewis Capaldi,25.0,1272450.0,Bruises,2019-10-11--2019-10-18,0.946,Divinely Uninspired To A Hellish Extent,pop,0.736,0.308,0.0,220492.0,0.18600000000000003,-7.83,84.0,2019-05-17,0.0677,111.20200000000001,4.0
25,25,Lil Nas X,26.0,1198265.0,Panini,2019-10-11--2019-10-18,0.342,Panini,rap,0.703,0.594,0.0,114893.0,0.12300000000000001,-6.146,74.0,2019-09-13,0.0752,153.84799999999998,4.0
26,26,Dave,27.0,1173804.0,Location (feat. Burna Boy),2019-10-11--2019-10-18,0.271,PSYCHODRAMA,hip hop,0.812,0.496,0.0,241293.0,0.0955,-5.968999999999999,76.0,2019-03-08,0.297,109.979,4.0
27,27,Ed Sheeran,28.0,1160989.0,I Don't Care (with Justin Bieber),2019-10-11--2019-10-18,0.0902,No.6 Collaborations Project,pop,0.7979999999999999,0.6759999999999999,0.0,219946.0,0.0894,-5.041,79.0,2019-07-12,0.0442,101.956,4.0
28,28,Lauv,29.0,1139231.0,"fuck, i'm lonely",2019-10-11--2019-10-18,0.48200000000000004,"fuck, i'm lonely",pop,0.8059999999999999,0.5579999999999999,0.0,198973.0,0.0618,-6.46,13.0,2019-08-02,0.0683,95.016,4.0
29,29,Dan + Shay,30.0,1105751.0,"10,000 Hours (with Justin Bieber)",2019-10-11--2019-10-18,0.153,"10,000 Hours (with Justin Bieber)",contemporary country,0.654,0.63,0.0,167693.0,0.111,-4.644,85.0,2019-10-04,0.0259,89.991,4.0
30,30,Normani,31.0,1102920.0,Motivation,2019-10-11--2019-10-18,0.0192,Motivation,dance,0.599,0.887,1.21e-06,193837.0,0.3,-3.967,76.0,2019-08-16,0.0984,170.918,4.0
31,31,MIST,32.0,1077573.0,So High (feat. Fredo),2019-10-11--2019-10-18,0.0061200000000000004,So High (feat. Fredo),grime,0.866,0.7140000000000001,1.88e-05,163142.0,0.0787,-6.107,67.0,2019-07-04,0.22,108.005,4.0
32,32,Maroon 5,33.0,1075016.0,Memories,2019-10-11--2019-10-18,0.8370000000000001,Memories,pop,0.764,0.32,0.0,189486.0,0.0822,-7.209,89.0,2019-09-20,0.0546,91.01899999999999,4.0
33,33,Ariana Grande,34.0,1074694.0,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),2019-10-11--2019-10-18,0.00268,Don’t Call Me Angel (Charlie’s Angels),dance,0.643,0.721,6.51e-06,190106.0,0.0898,-5.247999999999999,7.0,2019-09-13,0.0449,102.914,4.0
34,34,blackbear,35.0,1073937.0,hot girl bummer,2019-10-11--2019-10-18,0.128,hot girl bummer,pop,0.778,0.5589999999999999,0.0,185093.0,0.39899999999999997,-7.109,65.0,2019-08-23,0.0776,129.989,1.0
35,35,Y2K,36.0,1050642.0,Lalala,2019-10-11--2019-10-18,0.18100000000000002,Lalala,rap,0.843,0.391,0.0,160626.0,0.13699999999999998,-7.899,82.0,2019-06-28,0.0845,129.972,4.0
36,36,Sidhu Moose Wala,37.0,1046012.0,47 (feat. Stefflon Don),2019-10-11--2019-10-18,0.0756,47 (feat. Stefflon Don),hip hop,0.542,0.635,7.54e-06,194250.0,0.37200000000000005,-7.768,54.0,2019-10-10,0.309,93.42,4.0
37,37,Post Malone,38.0,1040132.0,Goodbyes (Feat. Young Thug),2019-10-11--2019-10-18,0.447,Goodbyes (Feat. Young Thug),rap,0.58,0.653,0.0,174960.0,0.111,-3.818,13.0,2019-07-05,0.0745,150.231,4.0
38,38,Camila Cabello,39.0,1027330.0,Liar,2019-10-11--2019-10-18,0.0169,Liar,dance,0.74,0.498,0.00282,207038.0,0.319,-6.684,75.0,2019-09-04,0.0456,98.016,4.0
39,39,Billie Eilish,40.0,1025860.0,bad guy,2019-10-11--2019-10-18,0.32799999999999996,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",pop,0.701,0.425,0.13,194087.0,0.1,-10.965,88.0,2019-03-29,0.375,135.128,4.0
40,40,Stormzy,41.0,1021105.0,Vossi Bop,2019-10-11--2019-10-18,0.13,Vossi Bop,grime,0.682,0.653,0.00116,196266.0,0.129,-6.062,71.0,2019-04-26,0.33899999999999997,188.115,4.0
41,41,Lizzo,42.0,1008652.0,Good as Hell,2019-10-11--2019-10-18,0.256,Good as Hell,dance,0.682,0.919,0.0,159735.0,0.442,-3.18,69.0,2016-03-09,0.0875,95.98200000000001,4.0
42,42,Halsey,43.0,1001324.0,Graveyard,2019-10-11--2019-10-18,0.231,Graveyard,dance,0.667,0.583,4.48e-05,181805.0,0.18100000000000002,-5.127000000000001,12.0,2019-09-13,0.0747,92.04299999999999,4.0
43,43,Lizzo,44.0,996255.0,Truth Hurts,2019-10-11--2019-10-18,0.11,Cuz I Love You (Deluxe),dance,0.715,0.624,0.0,173325.0,0.12300000000000001,-3.0460000000000003,71.0,2019-05-03,0.114,158.08700000000002,4.0
44,44,Tiësto,45.0,971043.0,God Is A Dancer (with Mabel),2019-10-11--2019-10-18,0.0241,God Is A Dancer (with Mabel),big room,0.774,0.747,6.11e-06,168125.0,0.342,-3.908,74.0,2019-09-20,0.08199999999999999,119.964,4.0
45,45,Mabel,46.0,967625.0,Mad Love,2019-10-11--2019-10-18,0.667,High Expectations,dance,0.622,0.7959999999999999,0.0,169813.0,0.106,-2.9989999999999997,7.0,2019-08-02,0.172,197.705,4.0
